tweet,descriptions,clean_tweet,sentiment
"@cbcscbselling @tokopedia Maaf kak, bukannya tinggal offkan saja sicepatnya. Apakah skrg tdk bisa??","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",cbcscbselling tokopedia maaf kak tinggal offkan sicepatnya skrg tdk,positif
"Sorry ulang, mau gestun tokopedia later via kredivo yg bisa pake voc cashback dan gratis ongkir ya kak. Butuh urgent, jdi yang fsr ya! #zonauang #zonajajan","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",sorry ulang gestun tokopedia later via kredivo yg pake voc cashback gratis ongkir ya kak butuh urgent jdi fsr ya zonauang zonajajan,netral
@TokopediaCare akhirnya teman teman seller mulai tumbang 1 per 1 di tokopedia (Lebih memilih CLOSED) @tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopediacare teman teman seller tumbang tokopedia pilih closed tokopedia,negatif
@tokopedia Kalo menang aku buatin juga deh spesial buat MINTOOO🥺💚,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia kalo menang buatin deh spesial mintooo,positif
Halo @tokopedia @TokopediaCare Please sinkornkan lagi sistem tracking resi paketnya saat pengiriman dengan perusahaan ekspedisi. Sekarang2 malah gak sinkron dengan di tokopedia dan web perusahaan ekspedisinya. dan butuh waktu lama buat dapetin update trackingnya di tokopedia,"['Top level entities that describe a Brands industry', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A video game like Overwatch', ""Franchises which span multiple forms of media like 'Harry Potter'"", 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",halo tokopedia tokopediacare please sinkornkan sistem tracking resi paket kirim usaha ekspedisi sinkron tokopedia web usaha ekspedisi butuh dapetin update trackingnya tokopedia,netral
"🍀 Open gestun instan @gestunbymoon gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, GET CASHBACK 🍀 pencairan cairin tarik gesek tunai paylater topup top up #zonauang #zonabu #gestun .","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gestunbymoon gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi get cashback cair cairin tarik gesek tunai paylater topup top up zonauang zonabu gestun,positif
Wtb blackpink tokopedia toko ijo blackpink all member,"['Named people in the world like Nelson Mandela', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",wtb blackpink tokopedia toko ijo blackpink all member,netral
@cbcscbselling @tokopedia karna ga di pick up terus ya? 😭,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",cbcscbselling tokopedia karna ga pick up ya,netral
"🍀 Open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, GET CASHBACK, fee start 25k 🍀 pencairan cairin tarik gesek tunai paylater topup top up #zonauang #zonabu #gestun *","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi get cashback fee start k cair cairin tarik gesek tunai paylater topup top up zonauang zonabu gestun,positif
@lunarsbae @tokopedia Toko aku udah kena peringatan dari Tokopedia huhu ㅠ,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",lunarsbae tokopedia toko udah kena ingat tokopedia huhu,netral
@cbcscbselling @tokopedia emang sicepat jauh2 konternya sekarang...,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",cbcscbselling tokopedia emang sicepat konter,negatif
"@tokopedia 4. baterai awet &amp; tahan lama🔋
5. design ciamik, pas banget sama tahun 2023 ini❤️

Minto lirik aku yah, bakal berguna banget hp ini buat menunjang kuliah, kerja &amp; organisasi yg aku ikutin✨🫶

#Reno8TdiTokopedia","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia baterai awet amp tahan lama design ciamik pas banget ini minto lirik yah guna banget hp tunjang kuliah kerja amp organisasi yg ikutin renotditokopedia,netral
"Jasa titip jualan/link co untuk hari ini masih avail yaa

• Fee jastip: 1.5k/resi
• Avail for: tokped (bebas ongkir) &amp; shopee (xtra)
• Payment after cek link
• Bisa cek ongkir dulu
• Hrs sudah ada buyer

#zonauang #zonajajan nitip dititipin tokopedia oren ijo gratong freeong","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",jasa titip jualanlink co avail yaa fee jastip kresi avail for tokped bebas ongkir amp shopee xtra payment after cek link cek ongkir dulu hrs buyerzonauang zonajajan nitip dititipin tokopedia oren ijo gratong freeong,netral
"Bukalapak &amp; Tokopedia : CCS MOTOR
Shopee : ccs.motor
#spareparts #spareparthonda #basecompantenna #baseantenna #honda #hondajazz #hondabrio #hondacivic #hondacivicindonesia #hondacity #hondamobilio #hondacrv #hondagrandindonesia #hondagrandcivic #hondamaestro #hondaoddysey","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Brands and Companies', 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.', 'Products created by Brands.  Examples: Ford Explorer, Apple iPhone.', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",bukalapak amp tokopedia ccs motorshopee ccsmotorspareparts spareparthonda basecompantenna baseantenna honda hondajazz hondabrio hondacivic hondacivicindonesia hondacity hondamobilio hondacrv hondagrandindonesia hondagrandcivic hondamaestro hondaoddysey,netral
"@tokopedia Udah ga bisa diajak kerjasama, minto 🙂","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia udah ga ajak kerjasama minto,netral
"WTS
digipack candy jaemin sealed (no poster)
130.000 include packing dan admin (bisa pake tiktokshop, shopee, dan tokopedia)
📍bandar lampung / depok

wts jaemin candy nctdream digipack","['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'Named people in the world like Nelson Mandela', 'A musician in the world, like Adele or Bob Dylan', 'A category for a musical style, like Pop, Rock, or Rap', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ']",wtsdigipack candy jaemin sealed no poster include packing admin pake tiktokshop shopee tokopedia bandar lampung depokwts jaemin candy nctdream digipack,netral
@tokopedia MINTO TOLONG DONG GAUSHA KERJA SAMA SAMA SI CEPAT LAGI. UDAH BARANG GA DIAMBIL KONTER JAUH. NGERUSAK PERFORM TOKO ORG AJA ANJIR,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia minto tolong gausha kerja si cepat udah barang ga ambil konter ngerusak perform toko org aja anjir,positif
"Sumpah ya pengiriman buku yang gue beli dari Tokopedia Gramedia cepet bgt. Gue pesen Kamis, udah nyampe ke rumah gue besoknya. Ga expect bakal secepet itu. Udah mana banyak yg diskon wkwwk.","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",sumpah ya kirim buku beli tokopedia gramedia cepet bgt sen kamis udah nyampe rumah besok ga expect secepet udah yg diskon wkwwk,netral
@AltermuFess Tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",altermufess tokopedia,netral
"@NanaFernando007 @anteraja_id @antaraja @tokopedia @ShopeeID @akulakuID @bukalapak @YLKI_ID @Kemenperin_RI Setuju, sy sudah 3x kecewa dg @anteraja_id. Order tgl 18 sore pakai sameday, baru diterima tgl 24. Barang sudah percuma krn saya sdh beli dr toko lain dan diantar oleh jasa kurir lain yg profesional. Giliran dikomplein minta ganti uang baru barang dikirim. Sudah sangat telat.","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",nanafernando anterajaid antaraja tokopedia shopeeid akulakuid bukalapak ylkiid kemenperinri tuju sy x kecewa dg anterajaid order tgl sore pakai sameday terima tgl barang krn sdh beli dr toko antar jasa kurir yg profesional gilir dikomplein ganti uang barang kirim telat,negatif
@tokopedia bagi voucher gratis ongkir yg banyak min 😋,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia voucher gratis ongkir yg min,positif
min @tokopedia solusi problem eror AK-LP23 nya dong tolong,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",min tokopedia solusi problem eror aklp nya tolong,negatif
Beli Dep terlengkap harga murah Desember 2022 di Tokopedia $LUNR,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",beli dep lengkap harga murah desember tokopedia lunr,positif
"@bankmandiri bisa tolong jelaskan kenapa menu top up emoney mandiri hilang dari market place (shopee, tokopedia, dll)? afaik, sekarang hanya tersedia di fasilitas milik bank mandiri.","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bankmandiri tolong menu top up emoney mandiri hilang market place shopee tokopedia dll afaik sedia fasilitas milik bank mandiri,positif
@ribkaaacs @torantula Tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",ribkaaacs torantula tokopedia,netral
@AkhenatenSon @akulahrahasiamu @PPKN_____ Tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",akhenatenson akulahrahasiamu ppkn tokopedia,netral
"@timetojaem Biasanya ada kek somethinc, tokopedia","['Top level entities that describe a Brands industry', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",timetojaem kek somethinc tokopedia,netral
"@AzarineCosmetic @tokopedia Aamiinn soalnya yg hydrasoothe udh cocok jg, harganya jg cocok bgt 😍😍😍😍","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",azarinecosmetic tokopedia aamiinn yg hydrasoothe udh cocok jg harga jg cocok bgt,positif
@tokopedia Min bagi vocer free ongkir seumur hidup dong,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia min vocer free ongkir umur hidup,positif
"@ijaakuijaaa @tokopedia yeyyyy, semoga suka dan cocok yaah😍🫶","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",ijaakuijaaa tokopedia yeyyyy moga suka cocok yaah,positif
@Novemberyun93 @tokopedia Semoga menang ya 👍,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",novemberyun tokopedia moga menang ya,positif
@beacukaiRI @tokopedia @ShopeeID di toko online pun ada kalo itu merugikan negara berarti shopee dan tokopedia ini juga turut serta membantu penjualan barang illegal dan juga merugikan negara.. imbas lebih buruk kena ke remaja SMP jaman sekarang udh pada ngerokok gk etis penerus bangsa ini,"['Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'Brands and Companies', 'A video game like Overwatch', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",beacukairi tokopedia shopeeid toko online kalo rugi negara shopee tokopedia bantu jual barang illegal rugi negara imbas buruk kena remaja smp jaman udh ngerokok etis terus bangsa,negatif
@islamifal @tokopedia Loh kok bisa gitu ya? Entar ongkirnya ikut kota mana?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",islamifal tokopedia loh gitu ya entar ongkirnya kota,netral
"@sicepat_ekspres Sangat disayangkan dan disesali order via @tokopedia diberikan/dapat kurir sitelat eh sicepat dari kemarin saja sampai hari ini belum dipick up, dan nanti pasti salah di Jakarta sortation 2 karena tidak profesional berturut-turut berkali-kali berbulan-bulan salah","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",sicepatekspres sayang sali order via tokopedia diberikandapat kurir sitelat eh sicepat kemarin dipick up salah jakarta sortation profesional berturutturut berkalikali berbulanbulan salah,netral
@tokopedia gantian jd leher yg sakit dong minto😇🙏🏻,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ganti jd leher yg sakit minto,negatif
@arTutor @tokopedia @danawallet @jokowi @bankmandiri @KemenBUMN Kalau punya rekening BCA pindah ke FLAZZ BCA aja lebih mudah dan lebih stabil aplikasinya daripada Livin,"['Named people in the world like Nelson Mandela', 'Politicians in the world, like Joe Biden', 'Brands and Companies', 'Brands and Companies', 'A section of a government, like The Supreme Court', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",artutor tokopedia danawallet jokowi bankmandiri kemenbumn rekening bca pindah flazz bca aja mudah stabil aplikasi livin,positif
@TokopediaCare kak... Tolong di bantu batalkan secara otomatis transaksi saya di tokopedia karena dari hari minggu sampe hari ini statusnya MENUNGGU KONFIRMASI dari penjual... Letih,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopediacare kak tolong bantu batal otomatis transaksi tokopedia minggu sampe status tunggu konfirmasi jual letih,netral
"@bankmandiri min, ini isi saldo emoney sampe kapan ya dipersulit (hanya bisa lewat app mandiri)? Apa solusinya ganti kartu ke yg lain aja krna ribet gak bisa lewat tokopedia atau shopee????","['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bankmandiri min isi saldo emoney sampe ya sulit app mandiri solusi ganti kartu yg aja krna ribet tokopedia shopee,netral
@TokopediaCare Bisa balas dm saya mas mba Tokopedia care?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopediacare balas dm mas mba tokopedia care,negatif
@tokopedia kak... Tolang di bantu batalkan secara otomatis transaksi saya di tokopedia. Karena dari hari minggu keterangan MENUNGGU KONFIRMASI dari penjual 🙏🙏🙏,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia kak tolang bantu batal otomatis transaksi tokopedia minggu terang tunggu konfirmasi jual,positif
"@tokopedia gak papa min henpon aja, seenggaknya bisa bikin hepi 👍🏻","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia papa min henpon aja enggak bikin hepi,netral
@tokopedia lihat tanggal ny min saya ngirim duluan min😔💪,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia lihat tanggal ny min ngirim duluan min,netral
"uninstall tokopedia di akhir bulan adalah jalan terbaik.

bulan depan aku instal lagi, ok?","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",uninstall tokopedia jalan terbaikbulan instal ok,positif
"@tokopedia @Sukirditmg loh serius min saya dlu itu min ,lihat jam nya min","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia sukirditmg loh serius min dlu min lihat jam nya min,positif
"@tokopedia Ngonten di Tiktok nih min, doain menang biar bisa lanjut ke YouTube min.","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing', 'for individual and types of technology, e.g., food technology, 3D printing', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Brands and Companies', 'A taxonomy of user interests. ']",tokopedia ngonten tiktok nih min doain menang biar youtube min,positif
"Open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, GET CASHBACK, fee start 25k #zonauang #gestun","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi get cashback fee start k zonauang gestun,positif
"🍀 Open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc, ada 800+ testi, GET CASHBACK, fee start 25k 🍀 pencairan cairin tarik gesek tunai paylater topup top up #zonauang #zonabu #gestun .","['Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'A grouping of interests and hobbies entities, like Novelty Food or Destinations', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",open gestun instan gopaycicil hci homecredit bri ceria akulaku indodana kredivo adakami yup tokopedia lazada credit card cc testi get cashback fee start k cair cairin tarik gesek tunai paylater topup top up zonauang zonabu gestun,positif
@BANKBRI_ID @kontakBRI min kok tokopedia card saya tiba2 ke blokir sementara ya baru dipake 3x,"['Brands and Companies', 'Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",bankbriid kontakbri min tokopedia card blokir ya dipake x,negatif
@POCO_ID @maknatalks @makna @Snapdragon_ID @tokopedia @LazadaID @ShopeeID @bliblidotcom @akulakuID @xFYCx @NIION_ID @auraesportsid @USSFeeds @tfrnewsid @Folkative @SpotifyID @NetflixID @GrabID @gojekindonesia @traveloka @tiket aku mau juga dongg minnnn,"['Top level entities that describe a Brands industry', 'Entity Service top level domain, every item that is in Entity Service should be in this domain', 'Categories within Brand Verticals that narrow down the scope of Brands', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Brands and Companies', 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",pocoid maknatalks makna snapdragonid tokopedia lazadaid shopeeid bliblidotcom akulakuid xfycx niionid auraesportsid ussfeeds tfrnewsid folkative spotifyid netflixid grabid gojekindonesia traveloka tiket dongg minnnn,netral
@tokopedia Siapp minto!,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia siapp minto,netral
@tokopedia Kece sepatunyaa 🤩,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia kece sepatunyaa,netral
Kenape sih ini isi saldo emoney gabisa2 @tokopedia,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",kenape sih isi saldo emoney gabisa tokopedia,netral
@islamifal @tokopedia mungkin dia dropshiper cumn salahnya alamat dia ga di taro sesuai asal barang,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",islamifal tokopedia dropshiper cumn salah alamat ga taro sesuai barang,netral
@tokopedia Bukan aku dong ya😀,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ya,netral
@tokopedia Ga apa2. Yg penting usaha 😅✊,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ga yg usaha,netral
@tokopedia Ngabrut😂,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia ngabrut,netral
"@tokopedia Buat gambar min ,,kalo pake layar kecil sedih min apk nya gak suport 😭","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tokopedia gambar min kalo pake layar sedih min apk nya suport,negatif
@anxietymsgs I Miss You but sometimes you say nothing at all in rrq ente gan ane mau jual di tokopedia di dunia ini yang bener loehhh di dunia ini yang bener loehhh di dunia ini yang bener loehhh ada di dalam hidupku aku tidak tahu kamu bisa menjadi lebih dari tahun sebelumnya yang hanya ada,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",anxietymsgs i miss you but sometimes you say nothing at all in rrq ente gan ane jual tokopedia dunia bener loehhh dunia bener loehhh dunia bener loehhh hidup,positif
Baru kali ini gw komplen ke @tokopedia perkara duit 40rb doang wkwk. Simpel karena penjualnya kagak minta maaf padahal dia salah input orderan.,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",kali komplen tokopedia perkara duit rb doang wkwk simpel jual kagak maaf salah input order,netral
@trash_url @18fesss Tokopedia bukan sih?,"['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",trashurl fesss tokopedia sih,netral
"Gw baru tau kalo di @tokopedia, seller bisa kirim barang dari gudang mana aja tanpa ada pemberitahuan. Pesen barang dari seller yg tertulis di kota ""Batam"" tapi dikirim dari ""Jakarta"". Tanpa ada info di deskripsi. Buat apa ada informasi asal kota seller kalo gitu.","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",tau kalo tokopedia seller kirim barang gudang aja pemberitahuan sen barang seller yg tulis kota batam kirim jakarta info deskripsi informasi kota seller kalo gitu,netral
"Cek Kebutuhan Tokomu Bersama Varian Produk Arsia 😁

Stok aman, pelanggan pun senang. Yuk borong semua kebutuhanmu di: 

Shoope dan Tokopedia :  Arsia packaging
WA CS Semarang :  0812 2852 7510
WA CS Yogyakarta : 08112745431","['Brands and Companies', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'A taxonomy of user interests. ', 'for individual and types of technology, e.g., food technology, 3D printing']",cek butuh toko varian produk arsia stok aman langgan senang yuk borong butuh shoope tokopedia arsia packagingwa cs semarang wa cs yogyakarta,positif
